"tool_cubeness","tool_symmetry","tool_convexity","tool_eccentricity","obj_sphereness","obj_cubeness","obj_symmetry","obj_eccentricity","action","effect_X","effect_Y"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","MH","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"ML","MH","L","ML","H","MH","MH","MH","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","MH","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
"ML","MH","L","ML","H","MH","MH","H","pull","NM","NM"
"ML","MH","L","ML","H","MH","MH","H","push","VP","NM"
"ML","MH","L","ML","H","MH","MH","H","tap_from_left","NM","LN"
"ML","MH","L","ML","H","MH","MH","H","tap_from_right","NM","LP"
