"tool_squareness","tool_symmetry","tool_convexity","tool_eccentricity","obj_circleness","action","effect_X","effect_Y"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","H","push","VP","NM"
"ML","L","L","L","H","tap_from_left","NM","VN"
"ML","L","L","L","H","tap_from_right","NM","LP"
"ML","L","L","L","H","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","VP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","NM"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","LP","LN"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","VN"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","LN"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","LN","LN"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","LN"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","pull","NM","VN"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
"ML","L","L","L","MH","push","LP","NM"
"ML","L","L","L","MH","tap_from_left","NM","LN"
"ML","L","L","L","MH","tap_from_right","NM","LP"
