tool_name,object_name,principal_component_0,principal_component_1
stick,cube,-2.255442738653116,2.9000956489673086
stick,sphere,2.7849976540564936,2.9000956489671994
stick,cylinder,-0.5295549154031887,2.9000956489672713
l_stick,cube,-2.255442738653215,-1.648584723371476
l_stick,sphere,2.7849976540563945,-1.6485847233715858
l_stick,cylinder,-0.5295549154032873,-1.6485847233715138
bone,cube,-2.2554427386531763,0.12501771326243707
bone,sphere,2.7849976540564336,0.12501771326232763
bone,cylinder,-0.5295549154032486,0.12501771326239952
umbrella,cube,-2.255442738653209,-1.3765286388580737
umbrella,sphere,2.7849976540564008,-1.3765286388581832
umbrella,cylinder,-0.5295549154032815,-1.3765286388581113
fork,cube,-2.255442738653234,-2.5501403411831713
fork,sphere,2.7849976540563754,-2.5501403411832806
fork,cylinder,-0.5295549154033067,-2.5501403411832086
