"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"VL","VL","push","VP","NM"
"VL","VL","tap_from_left","NM","VN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","LP","LN"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","VN"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","LN"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","LN","LN"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","LN"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","VN"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","push","LP","NM"
"VH","VL","tap_from_left","NM","LN"
"VH","VL","tap_from_right","NM","LP"
