"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"VH","VL","push","VP","NM"
"VH","VL","tap_from_left","NM","VN"
"VH","VL","tap_from_right","NM","LP"
"VH","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"ML","VL","push","VP","NM"
"ML","VL","tap_from_left","NM","LN"
"ML","VL","tap_from_right","NM","LP"
"ML","VL","pull","NM","NM"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","LP","LN"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","VN"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","LN"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","LN","LN"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","LN"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","pull","NM","VN"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
"VL","VL","push","LP","NM"
"VL","VL","tap_from_left","NM","LN"
"VL","VL","tap_from_right","NM","LP"
