"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","VP"
"VL","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","LP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
"VH","ML","pull","VN","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","VN"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"VL","ML","push","VP","NM"
"VL","ML","tap_from_left","NM","NM"
"VL","ML","tap_from_right","NM","LP"
"VL","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"ML","ML","push","VP","NM"
"ML","ML","tap_from_left","LP","LN"
"ML","ML","tap_from_right","LP","LP"
"ML","ML","pull","NM","NM"
"VH","ML","push","LP","NM"
"VH","ML","tap_from_left","NM","LN"
"VH","ML","tap_from_right","NM","LP"
