"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"VH","L","push","VP","NM"
"VH","L","tap_from_left","NM","VN"
"VH","L","tap_from_right","NM","VP"
"VH","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"ML","L","push","VP","NM"
"ML","L","tap_from_left","LP","LN"
"ML","L","tap_from_right","LP","LP"
"ML","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","VN","NM"
"VH","MH","push","VP","NM"
"VH","MH","tap_from_right","NM","LP"
"VH","MH","pull","NM","NM"
"VH","MH","push","VP","NM"
"VH","MH","tap_from_right","NM","LP"
"VH","MH","pull","NM","NM"
"VH","MH","push","VP","NM"
