"tool_cubeness","tool_symmetry","tool_convexity","tool_eccentricity","obj_sphereness","obj_cubeness","obj_symmetry","obj_eccentricity","action","effect_X","effect_Y"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","MH","push","VP","NM"
"L","L","MH","ML","H","MH","MH","MH","tap_from_left","NM","VN"
"L","L","MH","ML","H","MH","MH","MH","tap_from_right","NM","VP"
"L","L","MH","ML","H","MH","MH","MH","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","LP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","H","MH","MH","H","push","VP","NM"
"L","L","MH","ML","H","MH","MH","H","tap_from_left","LP","LN"
"L","L","MH","ML","H","MH","MH","H","tap_from_right","LP","LP"
"L","L","MH","ML","H","MH","MH","H","pull","VN","NM"
"L","L","MH","ML","MH","H","H","H","push","LP","NM"
"L","L","MH","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","L","MH","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","L","MH","ML","MH","H","H","H","pull","VN","NM"
"L","L","MH","ML","MH","H","H","H","push","LP","NM"
"L","L","MH","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","L","MH","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","L","MH","ML","MH","H","H","H","pull","VN","NM"
"L","L","MH","ML","MH","H","H","H","push","LP","NM"
"L","L","MH","ML","MH","H","H","H","tap_from_left","NM","LN"
