"tool_squareness","tool_symmetry","tool_convexity","tool_eccentricity","obj_circleness","action","effect_X","effect_Y"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","VP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
